concede,zugestehen,concéder,concede,conceder,تتنازل
conceive,begreifen,concevoir,concebir,conceber,تحديد
condemn,verurteilen,condamner,condenar,condenar,ادانة
confer,konferieren,conférer,conferir,conferir,تشاور
confine,einschränken,confiner,confinar,limitar,حجز
contend,anfechten,contender,contender,competir,يناقش
contender,anfechten,contender,contendiente,contendor,المنافس
designate,benennen,désigner,designado,designar,عين
desirable,wünschenswert,souhaitable,deseable,desejável,مرغوب فيه
detain,zurückhalten,détenir,detener,deter,حجز
deteriorate,verschlechtern,détériorer,deteriorarse,deteriorar,تتدهور
devastate,verwüsten,dévaster,devastar,devastar,يدمر
devil,verteufeln,diable,demonio,diabo,شيطان
devise,ausarbeiten,devise,idear,inventar,ابتكر
dictate,diktieren,dicter,dictar,ditar,تملي
differentiate,differenzieren,différencier,diferenciar,diferenciar,يميز
dignity,Würde,dignité,dignidad,dignidade,كرامة
dilemma,Dilemma,dilemme,dilema,dilema,معضلة
diminish,verkleinern,diminuer,disminuir,diminuir,يقلل
dip,eintauchen,plonger,aderezo,mergulhar,تراجع
disclose,offenlegen,divulguer,revelar,divulgar,الكشف عن
discretion,Diskretion,discrétion,discreción,critério,حرية التصرف
dispute,streiten,litige,disputar,disputa,خلاف
disrupt,stören,perturber,interrumpir,perturbe,يعطل
ecological,ökologisch,écologique,ecológico,ecológico,بيئي
educator,Erzieher,éducateur,educador,educador,مربي
effectiveness,Wirksamkeit,efficacité,eficacia,eficácia,فعالية
efficiency,Effizienz,efficacité,eficiencia,eficiência,نجاعة
exaggerate,übertreiben,exagérer,exagerar,exagerar,مبالغة
excellence,Exzellenz,excellence,excelencia,excelência,تفوق
exceptional,außergewöhnlich,exceptionnel,excepcional,excepcional,استثنائي
exile,exilieren,exiler,exilio,exílio,منفى
facilitate,erleichtern,faciliter,facilitar,facilitar,يسهل
fatal,tödlich,fatal,fatal,fatal,مميت
fate,Schicksal,destin,destino,destino,قدر
forth,weiter,à venir,adelante,adiante,إيابا
forthcoming,bevorstehend,à venir,próximo,próximo,قادم، صريح، يظهر
foster,fördern,favoriser,alentar,adotivo,الحاضنة
funeral,Beerdigung,funérailles,funeral,funeral,جنازة
gaze,Blick,regard,mirada,olhar,تحديق
glorious,glorreich,glorieux,glorioso,glorioso,المجيد
glory,Ruhm,gloire,gloria,glória,مجد
gravity,Schwerkraft,gravité,gravedad,gravidade,الجاذبية
grid,Gitter,grille,cuadrícula,rede,جريد
grief,Trauer,chagrin,dolor,pesar,حزن
grind,mahlen,grinder,moler,moer,طَحن
imprison,inhaftieren,emprisonner,encarcelar,aprisionar,حبس
inability,Unfähigkeit,incapacité,incapacidad,incapacidade,عجز
inequality,Ungleichheit,inégalité,desigualdad,desigualdade,عدم المساواة
infamous,berüchtigt,infâme,infame,infame,سيء السمعة
infect,anstecken,infecter,infectar,infectar,تصيب
interactive,interaktiv,interactif,interactivo,interativo,تفاعلي
lawn,Rasen,pelouse,césped,grama,العشب
lesser,weniger,moindre,menor,menor,أقل
lifelong,lebenslang,à vie,para toda la vida,vitalício,مدى الحياة
linger,verweilen,linger,persistir,permanecer,بقي
logic,Logik,logique,lógica,lógica,منطق
long-standing,langjährig,de longue date,de larga data,de longa data,طويل الأمد
magical,magisch,magique,mágico,mágico,سحري
magnetic,magnetisch,magnétique,magnético,magnético,مغناطيسي
mainland,Festland,continentale,continente,continente,البر الرئيسى
mask,Maske,masque,mascarilla,mascarar,قناع
mature,reifen,mature,maduro,maduro,ناضجة
melody,Melodie,mélodie,melodía,melodia,لحن
mobility,Mobilität,mobilité,movilidad,mobilidade,إمكانية التنقل
mobilize,mobilisieren,mobiliser,movilizar,mobilizar,حشد
moderate,moderat,modéré,moderado,moderado,معتدل
module,Modul,module,módulo,módulo,وحدة
momentum,Schwung,élan,impulso,impulso,قوة الدفع
monk,Mönch,moine,monje,monge,راهب
morality,Moral,moralité,moralidad,moralidade,الأخلاق
motive,Motiv,motif,motivo,motivo,الدافع
municipal,kommunal,municipal,municipal,municipal,البلدية
mutual,gegenseitige,mutuelle,mutual,mútuo,مشترك
nest,Nest,nid,nido,ninho,عش
net,Netz,net,red,internet,صافي
noble,edel,noble,noble,nobre,النبيل
notorious,berühmt-berüchtigt,notoire,notorio,notório,سيئة السمعة
novel,Roman,roman,novela,novela,رواية
oblige,verpflichten,obliger,obligar,obrigar,تجبر
occurrence,Vorkommen,occurrence,ocurrencia,ocorrência,حادثة
offering,Angebot,offre,ofrecimiento,oferta,عرض
offspring,Nachkommenschaft,progéniture,descendencia,filhos,النسل
pirate,Pirat,pirate,pirata,pirata,القرصان
pit,Grube,fosse,fosa,opor,حفرة
prestigious,prestigeträchtig,prestigieux,prestigioso,Prestigiado,مرموقة
quest,Suche,quête,búsqueda,busca,بحث
radar,Radar,radar,Radar,radar,رادار
raid,Razzia,raid,Redada,ataque,غارة
rational,rational,rationnel,racional,racional,معقول
rear,Rückseite,arrière,trasero,traseira,مؤخرة
reassure,beruhigen,rassurer,tranquilizar,tranquilizar,طمأن
refuge,Zuflucht,refuge,refugio,refúgio,لجأ
residence,Wohnsitz,résidence,residencia,residência,إقامة
resistance,Widerstand,résistance,resistencia,resistência,مقاومة
respective,jeweils,respectivement,respectivo,respectivo,خاص به
soak,tränken,tremper,remojar,absorver,نقع
sphere,Kugel,sphère,esfera,esfera,جسم كروى
spine,Wirbelsäule,colonne vertébrale,columna vertebral,coluna,العمود الفقري
spouse,Ehepartner,conjoint,esposa,cônjuge,زوج
squeeze,quetschen,presser,estrujar,espremer,يعصر
striking,auffällig,frappe,sorprendentes,impressionante,ملفت للنظر
subtle,subtil,subtile,sutil,sutil,رقيق
surveillance,Überwachung,surveillance,vigilancia,vigilância,مراقبة
synthesis,Synthese,synthèse,síntesis,síntese,تركيب
tackle,anpacken,tactique,abordar,enfrentar,يعالج
tactic,Taktik,tactique,táctica,tática,تكتيك
tactical,taktisch,tactique,táctico,tático,تكتيكي
taxpayer,Steuerzahler,contribuable,contribuyente,contribuinte,دافع الضرائب
tempt,verlocken,tenter,tentar,tentado,جذب
tenant,Mieter,locataire,inquilino,inquilino,مستأجر
unconstitutional,verfassungswidrig,anticonstitutionnel,inconstitucional,inconstitucional,مخالف للدستور
undermine,untergraben,miner,socavar,minar,تقويض
undoubtedly,zweifellos,sans doute,indudablemente,sem dúvida,مما لا شك فيه
uphold,aufrechterhalten,soutenir,defender,defender,التمسك
utilize,verwenden,utiliser,utilizar,utilizar,يستخدم
utterly,vollständig,tout à fait,absolutamente,totalmente,تماما
vanish,verschwinden,disparaître,desaparecer,desaparecer,تلاشى
venture,Unternehmen,aventure,empresa,risco,المغامر
verbal,verbal,verbal,verbal,verbal,لفظي
verdict,Urteil,verdict,veredicto,veredito,حكم
verify,nachprüfen,vérifier,verificar,verificar,تحقق
wholly,ganz,entièrement,totalmente,integralmente,كليا
widow,Witwe,veuve,viuda,viúva,أرملة
width,Breite,largeur,ancho,largura,العرض
worthy,würdig,digne,valioso,valioso,ذو قيمة
