          English                   German                     French                   Spanish              Portuguese                        Arabic
       allocation                Zuweisung                 allocation                asignación                alocação                         توزيع
        allowance                Zuweisung                 allocation                tolerancia                  mesada                          مخصص
             ally                verbünden                      allié                    aliado                  aliado                          حليف
         aluminum                Aluminium                  aluminium                  aluminio                alumínio                    الألومنيوم
          amateur                  Amateur                    amateur                aficionado                  amador                          هواة
       ambassador              Botschafter                ambassadeur                 embajador              embaixador                          سفير
            amend                   ändern                   modifier                  enmendar                 alterar                          يعدل
        amendment                 Änderung                 amendement                  enmienda               alteração                         تعديل
             amid             inmitten von                      parmi                     entre                   Entre                           وسط
          analogy                 Analogie                   analogie                  analogía                analogia                         تشبيه
           anchor                    Anker                      ancre                     ancla                  âncora                  مذيع الأخبار
            angel                    Engel                       ange                     ángel                    anjo                          ملاك
        anonymous                  anonyme                    anonyme                   anónimo                 anônimo                         مجهول
        apparatus                    Gerät                   appareil                   aparato                aparelho                          جهاز
          apparel               bekleidung                  vêtements                    vestir               vestuário                          ثياب
        appealing              ansprechend                   attirant                 atractivo                atraente                         جذابة
         appetite              appetitlich                    appétit                   apetito                 apetite                          شهية
          applaud             applaudieren                  applaudir                  aplaudir                aplaudir                           صفق
       applicable                anwendbar                 en vigueur                 aplicable               aplicável                   المعمول بها
          appoint                 ernennen                     nommer                   nombrar                  nomear                          يعين
     appreciation            Wertschätzung               appréciation               apreciación              apreciação                         تقدير
        arbitrary              willkürlich                 arbitraire                arbitrario              arbitrário                       افتراضى
    architectural          architektonisch              architectural            arquitectónico           arquitetônico                      المعماري
          archive              archivieren                    archive                   archivo                 arquivo                         أرشيف
            arena                    arena                      arène                     arena                   arena                        الساحة
              arm                      Arm                       bras                     brazo                   braço                          ذراع
            array                    Array                   déployer                 formación               variedade                 مجموعة مصفوفة
       articulate             artikulieren                  articuler                 articular               articular                   يتكلم بوضوح
              ash                    Asche                     cendre                    ceniza                   cinza                          رماد
       aspiration                  Streben                 aspiration                aspiración               aspiração                          طموح
           aspire                anstreben                    aspirer                   aspirar                 aspirar                          أطمح
    assassination                 Attentat                 assassinat                 asesinato             assassinato                        اغتيال
          assault                angreifen                     assaut                  agresión                 assalto                    الاعتداءات
         assemble               versammeln                  assembler                     armar                  montar                         جمعيه
         assembly              Versammlung                  Assemblée                  asamblea                conjunto                        المجسم
           assert                behaupten                   affirmer                   afirmar                 afirmar                          يجزم
        assertion               Behauptung                affirmation                afirmación               afirmação                         تأكيد
        assurance             Versicherung                  assurance                  garantía                garantia                         توكيد
           asylum                     Asyl                      asile                     asilo                   asilo                        اللجوء
         atrocity                Gräueltat                   atrocité                 atrocidad              atrocidade                         فظاعة
           attain                 erlangen                   au moins                  al menos              pelo menos                     على الأقل
       attendance              Anwesenheit                   présence                asistencia          comparecimento                        الحضور
        attribute              zuschreiben                   attribut                  atributo                atributo                          ينسب
          auction                  auktion                   enchères                   subasta                  leilão                     مزاد علني
            audit                  Prüfung                      Audit                 auditoría               auditoria                         تدقيق
        authentic              authentisch                authentique                 auténtico               autêntico                          أصلي
        authorize             autorisieren                  autoriser                 autorizar               autorizar                          يأذن
             auto                     Auto                       auto                      auto                    auto                        تلقاءي
         autonomy                Autonomie                  autonomie                 autonomía               autonomia                       استقلال
           autumn                   Herbst                  l'automne                     otoño                  outono                          خريف
     availability            Verfügbarkeit              disponibilité            disponibilidad         disponibilidade                        التوفر
            await                 erwarten                   attendre                   esperar                aguardam                         انتظر
         backdrop                  kulisse              toile de fond                     fondo           pano de fundo                         خلفية
          backing            Rückendeckung                    support                     apoyo                   apoio                           دعم
           backup                Sicherung                 sauvegarde                  respaldo      cópia de segurança                           دعم
             bail                  Kaution                    caution                    fianza                  fiança                       الكفالة
           ballot              Stimmzettel           bulletin de vote                  votación                  cédula                      الاقتراع
       bankruptcy                  Konkurs                la faillite                bancarrota                falência                         إفلاس
           banner                   banner                   bannière                   bandera                bandeira                         لافتة
             bare                    nackt                      juste                      sólo                  apenas                           فقط
           barrel                     Fass                      baril                    barril                  barril                         برميل
             bass                     Bass                      basse                      bajo                  graves                      صوت عميق
              bat               Fledermaus                        une                       una                       1                          واحد
      battlefield             Schlachtfeld          champ de bataille          campo de batalla        campo de batalha                  ساحة المعركة
              bay                    Bucht                    la baie                     bahía                    baía                          شراء
             beam                   Strahl                   rayonner                       haz                   feixe                         الحزم
            beast                    Biest                    la bête                    bestia                    fera                           وحش
           behalf                  Auftrag                  au nom de                 beneficio                    lado                باسمى او لاجلى
       behavioral                Verhalten             comportemental                conductual          comportamental                         سلوكي
          beloved                  geliebt                  bien-aimé                     amado                   amado                         محبوب
            bench                     Bank                       banc           mesa de trabajo         banco de sentar                 مقاعد البدلاء
        benchmark                 Maßstäbe                  référence       punto de referencia              referência                       المعيار
          beneath                    unter                       sous                    debajo                  abaixo                          أسفل
      beneficiary               Nutznießer               Bénéficiaire              beneficiario            beneficiário                      المستفيد
           betray                 verraten                     trahir                traicionar                   trair                          يخون
         beverage                  Getränk                    boisson                    bebida                  bebida                         مشروب
             bind                   binden                       lier                      unir                   ligar                           ربط
        biography               Biographie                 Biographie                 biografía               biografia                    سيرة شخصية
           bishop                  bischof                     évêque                    obispo                   bispo                          أسقف
          bizarre                   bizarr                    bizarre                   extraño                 bizarro                          غريب
            blade                   Klinge                       lame                    espada                  lâmina                          شفرة
            blast                 sprengen                  explosion                 explosión                explosão                        انفجار
            bleed                   bluten                    saigner                   sangrar                 sangrar                          ينزف
            blend                  mischen                    mélange                   mezclar                 mistura                          يمزج
            bless                   segnen                      bénir                  bendecir                abençoar                         يبارك
         blessing                   segnen                bénédiction                 bendición                  bênção                          بركة
            boast                   rühmen                  se vanter                  presumir           vangloriar-se                         تباهى
            bonus                    Bonus                      prime                     prima                   bônus                         علاوة
          booking                   Buchen                réservation                   reserva                 reserva                         الحجز
             boom                   boomen                       boom                      auge                estrondo                         فقاعة
           bounce               Aufschwung                   rebondir                      bote                  quicar                   وثب، ارتداد
         boundary                   Grenze                  frontière                 Perímetro               fronteira                        الحدود
              bow                    Bogen                        arc                      arco                    arco                         ينحني
           breach               Verletzung                  violation            incumplimiento                violação                          يخرق
        breakdown               Durchbruch                      panne                  desglose                 demolir                        انفصال
     breakthrough               Durchbruch                     percée            descubrimiento                  avanço                        اختراق
            breed                  züchten                     élever                      raza                    raça                         تربية
        broadband                breitband                 haut débit               banda ancha             banda larga                    موجة عريضة
          browser                  Browser                 navigateur                 navegador               navegador                       المتصفح
           brutal                   brutal                     brutal                    brutal                  brutal                         قاسِي
            buddy                   Kumpel                     copain                     amigo                camarada                          صاحب
           buffer                   Puffer                    amortir                    buffer             amortecedor                        متعادل
             bulk                    Masse                    en gros                  a granel                  volume                           حجم
           burden                Belastung                     charge                     carga                   fardo                           حرج
      bureaucracy               Bürokratie               bureaucratie                burocracia              burocracia                  البيروقراطية
           burial               Beerdigung                enterrement                  entierro                 enterro                           دفن
            burst                  platzen                 éclatement                    ráfaga               explodido                        انفجار
          cabinet                 Kabinett                    cabinet                  gabinete                gabinete                         خزانة
      calculation               Berechnung                     calcul                   cálculo                 Cálculo                  عملية حسابية
           canvas                 Leinwand                      Toile                    lienzo                    tela               اللوحة القماشية
       capability                fähigkeit                   aptitude                 capacidad              capacidade                     الإمكانية
       capitalism             Kapitalismus                capitalisme               capitalismo             capitalismo                    الرأسمالية
       capitalist           kapitalistisch                capitaliste               capitalista             capitalista                       رأسمالي
            cargo                   Fracht                  cargaison                     cargo                   cargo                       البضائع
         carriage                    Wagen                 le chariot                     carro              transporte                     عربه قطار
            carve                schnitzen                    tailler                  esculpir                esculpir                           نحت
           casino                   Kasino                     casino                    casino                 cassino                        كازينو
         casualty                   Unfall                    victime                   víctima                acidente                          ضحية
          catalog                  Katalog                  catalogue                 catalogar                Catálogo                          فهرس
            cater               verpflegen             approvisionner                 abastecer                 atender                    زود الطعام
           cattle                     Vieh                     bétail                    ganado                    gado                         ماشية
          caution                 Vorsicht              mise en garde                precaución                 Cuidado                           حذر
         cautious            zurückhaltend                    prudent                 precavido               cauteloso                         الحذر
            cease                 aufhören                     cesser                     cesar                  cessar                         انقطع
         cemetery                 Friedhof                  cimetière                cementerio               cemitério                         مقبرة
          chamber                   Kammer                    chambre                    cámara                  câmara                          غرفة
            chaos                    Chaos                   le chaos                      caos                    caos                          فوضى
     characterize         charakterisieren               caractériser              caracterizar            caracterizar                          تميز
            charm                   Charme                     charme                   encanto                  charme                           سحر
          charter                  Satzung                     charte                     carta              fretamento                       الميثاق
            choir                     Chor                    chorale                      coro                    coro                       الكورال
          chronic                chronisch                  chronique                   crónico                 crônica                          مزمن
            chunk                Stückchen                    tronçon                    pedazo                  pedaço                          قطعة
        circulate              zirkulieren                   circuler                  circular                circular                         تعميم
      circulation                  Auflage                circulation               circulación              circulação                       الدوران
      citizenship       Staatsbürgerschaft                citoyenneté                ciudadanía               cidadania                      المواطنة
            civic         staatsbürgerlich                    civique                    cívico                  cívico                          مدني
         civilian                    zivil                      civil                     civil                   civil                          مدني
          clarity                 Klarheit                     clarté                  claridad                 clareza                          وضوح
            clash             Zusammenstoß                       choc                    choque                  choque                        اشتباك
   classification               Einstufung             classification             clasificación           classificação                         تصنيف
            cling                 klammern              se cramponner                 adherirse                 agarrar                          تشبث
         clinical                 klinisch                   clinique                   clínico                 clínico                          مرضي
          closure               Verschluss                  fermeture                    cierre                   fecho                         إنهاء
          cluster                  cluster                     groupe                     grupo                conjunto                      تَجَمَّع
        coalition                Koalition                  coalition                 coalición                 aliança                      الائتلاف
          coastal                    küste                     côtier                   costero                costeiro                         ساحلي
         cocktail                 cocktail                   cocktail                    cóctel                coquetel                        كوكتيل
        cognitive                 kognitiv                   cognitif                 cognitivo               cognitivo                      الإدراكي
         coincide           übereinstimmen                  coïncider                  coincide               coincidir                         تزامن
      collaborate         zusammenarbeiten                 collaborer                 colaborar               colaborar                        يتعاون
    collaboration         zusammenarbeiten              collaboration              colaboración             colaboração                         تعاون
       collective                kollektiv                  collectif                 colectivo                coletivo                         جماعي
        collision                Kollision                  collision                  colisión                 colisão                         تصادم
         colonial                 kolonial                   colonial                  colonial                colonial                      استعماري
        columnist                Kolumnist                journaliste                columnista               colunista                   كاتب العمود
           combat                    Kampf                     combat                   combate                 combate                          قتال
         commence                 beginnen                   commence                  comenzar                 começar                          تبدأ
       commentary                Kommentar                commentaire                comentario              comentário                         تعليق
      commentator              Kommentator               commentateur              comentarista            comentarista                        المعلق
         commerce                   Handel                   commerce                  comercio                comércio                         تجارة
     commissioner                Kommissar             le commissaire                   notario              comissário                          مفوض
        commodity                     Ware            produit de base                  producto              mercadoria                          سلعة
        communist            kommunistisch                 communiste                 comunista               comunista                         شيوعي
        companion                Begleiter               un compagnon                 compañero             companheiro                          رفيق
       comparable             vergleichbar                 comparable                comparable              comparável                قابلة للمقارنة
       compassion                Mitgefühl                 compassion                 compasión               compaixão                         تعاطف
           compel                  zwingen                contraindre                   obligar                 obrigar                          تجبر
       compelling                  zwingen               irrésistible               convincente                atraente                          قهري
       compensate             kompensieren                  compenser                 compensar               compensar                         يكافئ
     compensation             kompensieren               compensation              compensación             compensação                       تعويضات
       competence                Kompetenz                 compétence               competencia             competência                         كفاءه
        competent                kompetent                  compétent                competente              competente                           كفؤ
          compile              kompilieren                   compiler                  compilar                compilar                         تجميع
       complement                 ergänzen                 complément              complementar             complemento                          مديح
       complexity              Komplexität                 complexité               complejidad            complexidade                         تعقيد
       compliance               Einhaltung                 conformité              cumplimiento             observância                        امتثال
     complication             Komplikation               complication              complicación             complicação                         تعقيد
           comply              entsprechen                  conformer                   cumplir                 cumprir                      الامتثال
      composition          Zusammensetzung                composition               composición              composição                         تكوين
       compromise               Kompromiss        faire des compromis                compromiso             compromisso                         مرونة
          compute                Berechnen                   calculer                  calcular                calcular                    إحصاء - عد
          conceal                verbergen                     cacher                  encubrir                esconder                         إخفاء
          concede               zugestehen                   concéder                   concede                conceder                        تتنازل
         conceive                begreifen                  concevoir                  concebir                conceber                         تحديد
       conception              konzipieren                 conception                concepción               concepção                          تصور
       concession             Zugeständnis                 concession                 concesión               concessão                         تنازل
          condemn              Verurteilen                  condamner                  condenar                condenar                         ادانة
           confer              konferieren                   conférer                  conferir                conferir                         تشاور
       confession               Geständnis                 confession                 confesión               confissão                        اعتراف
    configuration               Gestaltung              configuration             configuración            configuração                         ترتيب
          confine             einschränken                   confiner                  confinar                 limitar                           حجز
     confirmation              Bestätigung               confirmation              confirmación             confirmação                       التأكيد
         confront            konfrontieren                  affronter                confrontar               enfrentar                        مواجهة
    confrontation            Konfrontation               affrontement             confrontación               confronto                        مواجهة
     congratulate              gratulieren                  féliciter                 felicitar               felicitar                         تهنئة
     congregation              Versammlung               congrégation              congregación             congregação                          مجمع
    congressional                 Kongress                 du congrès              del congreso           congressional                      الكونغرس
          conquer                  erobern                  conquérir                conquistar              conquistar                         يسيطر
       conscience                 Gewissen                 conscience                conciencia             consciência                        الضمير
    consciousness              Bewusstsein                 conscience                conciencia             consciência                   وعي - إدراك
      consecutive               konsekutiv                 consécutif               consecutivo             consecutivo                   على التوالي
        consensus                  Konsens                  consensus                  consenso                consenso                         إجماع
          consent                zustimmen               consentement                 consentir           consentimento                        موافقة
         conserve             konservieren                   conserve                 conservar               conservar                           حفظ
      consistency               Konsistenz                  cohérence              consistencia            consistência                       التناسق
      consolidate            konsolidieren                 consolider                consolidar              consolidar                         توطيد
       constitute            konstituieren                 constituer                constituir              constituir                          تشكل
     constitution               Verfassung               Constitution              constitución            constituição                         دستور
   constitutional               Verfassung            constitutionnel            constitucional          constitucional                        دستوري
       constraint             einschränken                 contrainte               restricción               restrição                           قيد
     consultation                 Anhörung               consultation                  consulta                consulta                       التشاور
      contemplate       in Betracht ziehen                 contempler                contemplar              contemplar                          تفكر
         contempt               Verachtung                     mépris                 desprecio                desprezo                        ازدراء
          contend                anfechten                  combattre                 contender                competir                         يناقش
        contender                anfechten                 concurrent              contendiente               contendor                       المنافس
          content                   Inhalt                    contenu                 contenido                contente                       المحتوى
       contention               Anfechtung                 contention                contención               contenção                          خلاف
      continually                  ständig            continuellement             continuamente           continuamente                      باستمرار
       contractor            Auftragnehmer                prestataire               contratista             contratante                         مقاول
    contradiction              Widerspruch              contradiction             contradicción             contradição                         تناقض
         contrary                  konträr                  contraire                 contrario               contrário                         العكس
      contributor              Mitwirkende                   donateur             contribuyente            contribuinte                         مساهم
       conversion               Umwandlung                 conversion                conversión               conversão                       تحويلات
          convict             Verurteilter                   condamné                  condenar                condenar                  المحكوم عليه
       conviction             Verurteilung                 conviction                convicción               convicção                         قناعة
        cooperate              kooperieren                   coopérer                  cooperar               colaborar                        ميداني
      cooperative               kooperativ                coopérative               cooperativa             cooperativo                        تعاوني
       coordinate             koordinieren                 coordonner                 coordinar              coordenada                         تنسيق
     coordination             koordinieren               coordination              coordinación             coordenação                         تنسيق
      coordinator              Koordinator               coordinateur               coordinador             coordenador                          منسق
           copper                   Kupfer                     cuivre                     cobre                   cobre                          نحاس
        copyright             Urheberrecht            droits d'auteur         derechos de autor         direito autoral                    حقوق النشر
       correction                Korrektur                 correction                corrección                correção                         تصحيح
        correlate              korrelieren                 corrélatif               correlación           correlacionar                         ترتبط
      correlation              Korrelation                corrélation               correlación              correlação                 علاقه مترابطه
